stock_code,current_price,weight,position_size,target_price,stop_loss,confidence,risk_level,holding_period
000036,3.94,0.10857763300760043,0.1,3.7190000000000003,3.8956232982227177,1.0,low,short
000056,2.76,0.10857763300760043,0.1,3.0515,2.837144171867614,1.0,high,long
000066,15.91,0.10857763300760043,0.1,15.105499999999997,15.593092366432552,1.0,low,short
000417,6.28,0.10857763300760043,0.1,5.7005,6.003570254142917,1.0,low,short
000520,4.99,0.10857763300760043,0.1,5.2395000000000005,4.7405,1.0,low,short
000513,40.06,0.09880564603691638,0.091,41.671,39.58916983351116,0.9099999999999999,high,medium
000021,19.4,0.09229098805646035,0.085,18.7235,19.218922201666707,0.85,low,short
000062,26.96,0.09229098805646035,0.085,28.308000000000003,25.612,0.85,low,short
000006,7.46,0.08686210640608034,0.08000000000000002,6.356,6.947106010636575,0.8,low,short
000010,4.76,0.08686210640608034,0.08000000000000002,3.7805,4.86599236948255,0.8,low,short
